"date_start","date_end","tax_year","tax_period_month","is_visible"
"2022-01-01","2022-01-31","2022","1",""
"2022-02-01","2022-02-28","2022","2",""
"2022-03-01","2022-03-31","2022","3",""
"2022-04-01","2022-04-30","2022","4",""
"2022-05-01","2022-05-31","2022","5",""
"2022-06-01","2022-06-30","2022","6",""
"2022-07-01","2022-07-31","2022","7",""
"2022-08-01","2022-08-31","2022","8",""
"2022-09-01","2022-09-30","2022","9","True"
"2022-10-01","2022-10-31","2022","10","True"
"2022-11-01","2022-11-30","2022","11","True"
"2022-12-01","2022-12-31","2022","12","True"